ID,Food Name,Calories
0,Pudding,105
8,Proteiinirahka,140
9,Cottage Cheese,20
10,Zaziki,51
13,Yogurt,208
23,Vanilla,120
25,Danone Alsafi,88
29,Chocolate,102
30,Fruit Snack,360
31,Egg,90
32,Nutrition Shake,1010
33,Sports Drink,26
34,Protein Powder,200
38,Berry,66
39,Malt Beverage,88
41,Juice,9
42,Cocoa Powder Unsweetened,12
43,Coconut Milk,35
44,Cocoa Powder,28
45,Rice Drink,113
46,Coconut Water,46
47,Coffee,268
51,Instant Cappuccino Powder,53
58,Energy Drink,13
60,Soda,110
76,Tamarind Nectar,143
78,Limeade,128
79,Guava Nectar,158
84,Pear Nectar,150
86,Lemon,54
90,Guanabana Nectar,148
92,Horchata,15
93,Fruit Punch,98
94,Apricot Nectar,139
95,Orangensaft Ja,86
96,Fruchtcocktail Granini,102
97,Peach Nectar,125
101,Mango Nectar,128
104,Papaya Nectar,143
108,Water Dannon,0
109,Tap Water,0
110,Table Water,0
111,Fruit Flavored Water,52
112,Water,0
115,Tonic Water,114
116,Lemonade Low Calorie,7
117,Ginger Ale,68
121,Cola,74
122,Cream Soda,252
123,Club Soda,0
124,Pink Lemonade,86
125,Grape Soda,160
127,White Lemonade,80
129,Sweet Tea Lipton,130
130,Hibiscus Tea,74
132,Pesca Tea Santal,116
134,Tea With Milk And Sugar Yorkshire,15
135,Tea Blueberry Muffin Tekanne,4
136,Chamomile Tea,2
137,Black Tea,2
138,Herb Tea,2
144,Acorn,144
145,Fenugreek Seeds,36
146,Peanut Topping Mcdonalds,181
147,Beechnuts,173
148,Breadnut Tree Seeds,61
149,Cumin Seeds,8
150,Pili Nuts,863
151,Hazelnuts,194
152,Lupins,193
153,Hazelnuts Blanched,178
154,Brazilnuts,33
155,Sunflower Seeds Dry,47
156,Ginkgo Nuts,172
157,Peanuts,572
158,Pumpkin Squash Seeds,721
159,Cashew Nuts,156
160,Sunflower Seeds,269
161,Lotus Seeds,106
162,Butternuts,734
163,Sesame Seeds,52
164,Breadfruit Seeds,57
165,Pinyon Pine Nuts,1
166,Pine Nuts,909
167,Flaxseeds,55
168,Safflower Seed Kernels,146
169,Pistachio Nuts,691
171,Poppy Seeds,46
172,Valencia Peanuts,832
173,Spanish Peanuts,832
174,Dill Seeds,20
175,Caraway Seeds,22
177,Almonds,182
179,Chestnuts,37
180,Alfalfa Seeds,1
181,Virginia Peanuts,173
183,Anise Seeds,7
184,Macadamia Nuts,215
185,Studentenfutter Alnatura,139
187,Water Chestnut,120
192,Sunflower Seeds Toasted,829
193,Sisymbrium Seeds,235
195,Pecans,753
196,Chia Seeds,138
197,Japanese Chestnuts,57
198,Sesame Seeds Toasted,45
201,Mustard Seeds Ground,10
202,Mixed Nuts,178
203,Salat Mix Alestro,61
206,Walnut,33
207,Celery Seeds,25
208,Hickorynuts,788
210,Woca Seeds,102
212,Fennel Seeds,7
213,Chinese Chestnuts,68
214,Watermelon Seed Kernels,602
216,Pectin,163
217,Black Walnut,31
222,Nesfit Diet Cereal Nestle,75
223,Corn,182
224,Amaranth Flakes,134
225,Granola,293
226,Muesli With Fruit Nuts,231
227,Muesli Master Crumble,124
228,Bran Flakes,131
229,Nut Cereal,245
